ts,username,token_index,word,action,strategy,segments,tags,subtypes,codes,new_codes,comment
2026-03-12T08:53:35+00:00,annotator1,25,yil,update,primary,yil,STEM,,UNKNOWN,0.0.0.0,
2026-03-12T08:53:42+00:00,annotator1,30,etish,update,primary,etish,STEM,,UNKNOWN,0.0.0.0,
2026-03-12T08:55:22+00:00,annotator1,35,vazirlar,update,primary,vazir|lar,UNKNOWN|UNKNOWN,|,UNKNOWN|UNKNOWN,9.9.9.9|9.9.9.9,
2026-03-12T08:55:27+00:00,annotator1,40,qonunchilik,update,primary,qonunchilik,ROOT,,ROOT,0.0.0.0,
2026-03-12T08:57:34+00:00,annotator1,45,soʻzlari,update,primary,soʻz|lar|i,ROOT|INFLECTION|POSSESSIVE,||,ROOT|SF001|SF010,0.0.0.0|1.1.1.1|2.2.2.2,
2026-03-12T09:04:28+00:00,annotator1,50,faoliyat,update,primary,faoliyat,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:04:35+00:00,annotator1,55,raqamini,update,primary,raqam|i|ni,ROOT|POSSESSIVE|CASE,||,ROOT|SF010|SF030,0.0.0.0|2.2.2.2|3.3.3.3,
2026-03-12T09:08:44+00:00,annotator1,60,o'zbekiston,update,primary,o'zbekiston,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:08:47+00:00,annotator1,65,yoqdi,delete,primary,yoqd|i,ROOT|POSSESSIVE,|,ROOT|SF010,0.0.0.0|2.2.2.2,
2026-03-12T09:08:50+00:00,annotator1,70,ikkinchi,delete,primary,ikkinch|i,ROOT|POSSESSIVE,|,ROOT|SF010,0.0.0.0|2.2.2.2,
2026-03-12T09:08:51+00:00,annotator1,75,qabul,update,primary,qabul,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:08:54+00:00,annotator1,80,nazarda,update,primary,nazar|da,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:10:45+00:00,annotator1,85,belgilangan,save,primary,belgilangan,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:10:46+00:00,annotator1,90,qismi,save,primary,qismi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:10:48+00:00,annotator1,95,jarima,save,primary,jarima,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:10:53+00:00,annotator1,100,vazirligi,save,primary,vazirligi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:10:54+00:00,annotator1,105,besh,save,primary,besh,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:10:56+00:00,annotator1,110,foydalanish,save,primary,foydalanish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:10:57+00:00,annotator1,115,muvofiq,save,primary,muvofiq,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:10:58+00:00,annotator1,120,koʻrib,save,primary,koʻrib,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:10:59+00:00,annotator1,125,bolalar,save,primary,bolalar,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:11:00+00:00,annotator1,130,shaxslar,save,primary,shaxslar,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:11:39+00:00,annotator1,135,oʻn,save,primary,oʻn,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:11:42+00:00,annotator1,140,oshirish,save,primary,oshirish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:11:44+00:00,annotator1,145,hal,save,primary,hal,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:11:52+00:00,annotator1,150,hujjatlarida,save,manual,hujjatlarida,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:11:53+00:00,annotator1,155,organlari,save,primary,organlari,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:11:55+00:00,annotator1,160,saqlash,save,primary,saqlash,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:11:58+00:00,annotator1,165,ikki,save,primary,ikki,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:11:59+00:00,annotator1,170,bosh,save,primary,bosh,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:12:00+00:00,annotator1,175,ozodlikdan,save,primary,ozodlikdan,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:12:02+00:00,annotator1,180,qht,delete,primary,qht,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:13:36+00:00,annotator1,185,ularni,save,primary,ularni,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:13:37+00:00,annotator1,190,yer,save,primary,yer,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:13:37+00:00,annotator1,195,maxsus,save,primary,maxsus,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:13:38+00:00,annotator1,200,nomi,save,primary,nomi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:13:39+00:00,annotator1,205,yuz,save,primary,yuz,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:13:40+00:00,annotator1,210,haqining,save,primary,haqining,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:21:26+00:00,annotator1,215,ishni,save,primary,ishni,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:21:33+00:00,annotator1,220,qarorining,save,primary,qarorining,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:21:34+00:00,annotator1,225,quyidagi,save,primary,quyidagi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:21:35+00:00,annotator1,230,harbiy,save,primary,harbiy,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:21:38+00:00,annotator1,235,joriy,save,primary,joriy,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:21:40+00:00,annotator1,240,xalqaro,save,primary,xalqaro,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:21:41+00:00,annotator1,245,qilib,save,primary,qilib,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:22:39+00:00,annotator1,250,haqidagi,save,primary,haqidagi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:22:41+00:00,annotator1,255,olishb,save,primary,olishb,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:22:42+00:00,annotator1,260,tayyorlash,save,primary,tayyorlash,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:22:44+00:00,annotator1,265,toʻrtinchi,save,primary,toʻrtinchi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:24:57+00:00,annotator1,270,shaxslarning,save,primary,shaxslarning,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:24:58+00:00,annotator1,275,kelib,save,primary,kelib,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:24:59+00:00,annotator1,280,koʻra,save,primary,koʻra,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:25:14+00:00,annotator1,285,hollarda,delete,primary,hollarda,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:25:15+00:00,annotator1,290,qanday,save,primary,qanday,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:25:16+00:00,annotator1,295,huquq,save,primary,huquq,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:25:47+00:00,annotator1,300,koʻrsatilgan,save,primary,koʻrsatilgan,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:25:48+00:00,annotator1,305,texnika,save,primary,texnika,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:25:49+00:00,annotator1,310,olishkeyingi,save,primary,olishkeyingi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:25:51+00:00,annotator1,315,tasdiqlash,save,primary,tasdiqlash,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:26:56+00:00,annotator1,320,do'konlari,save,primary,do'konlari,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:31:03+00:00,annotator1,325,hujjatlarini,save,primary,hujjatlarini,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:31:04+00:00,annotator1,330,unga,save,primary,unga,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:32:08+00:00,annotator1,335,ishlarni,save,primary,ishlarni,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:32:11+00:00,annotator1,340,sudning,save,primary,sudning,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:32:54+00:00,annotator1,345,javobgarlik,save,primary,javobgarlik,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:32:55+00:00,annotator1,350,sudining,save,primary,sudining,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:32:56+00:00,annotator1,355,tashkilot,save,primary,tashkilot,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:32:57+00:00,annotator1,360,iqtisodiyot,save,primary,iqtisodiyot,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:32:58+00:00,annotator1,365,qilgan,save,primary,qilgan,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:32:59+00:00,annotator1,370,qilinishi,save,primary,qilinishi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:33:01+00:00,annotator1,375,ozod,save,primary,ozod,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:33:02+00:00,annotator1,380,etuvchi,save,primary,etuvchi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:33:04+00:00,annotator1,385,ilova,save,primary,ilova,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:33:06+00:00,annotator1,390,apellyatsiya,save,primary,apellyatsiya,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:08+00:00,annotator1,395,qaroriga,save,primary,qaroriga,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:09+00:00,annotator1,400,kassatsiya,delete,primary,kassatsiya,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:18+00:00,annotator1,0,taklif,update,primary,taklif,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:19+00:00,annotator1,5,va,update,primary,va,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:20+00:00,annotator1,10,uchun,update,primary,uchun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:23+00:00,annotator1,15,olishhujjatga,delete,primary,olishhujjat|ga,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:35:24+00:00,annotator1,20,qonun,update,primary,qonun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:26+00:00,annotator1,25,yil,update,primary,yil,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:27+00:00,annotator1,30,etish,update,primary,etish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:32+00:00,annotator1,35,vazirlar,update,primary,vazir|lar,UNKNOWN|UNKNOWN,|,UNKNOWN|UNKNOWN,9.9.9.9|9.9.9.9,
2026-03-12T09:35:35+00:00,annotator1,40,qonunchilik,update,primary,qonunchilik,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:38+00:00,annotator1,45,soʻzlari,update,primary,soʻz|lar|i,ROOT|INFLECTION|POSSESSIVE,||,ROOT|SF001|SF010,0.0.0.0|1.1.1.1|2.2.2.2,
2026-03-12T09:35:40+00:00,annotator1,50,faoliyat,update,primary,faoliyat,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:43+00:00,annotator1,55,raqamini,update,primary,raqam|i|ni,ROOT|POSSESSIVE|CASE,||,ROOT|SF010|SF030,0.0.0.0|2.2.2.2|3.3.3.3,
2026-03-12T09:35:45+00:00,annotator1,60,o'zbekiston,update,primary,o'zbekiston,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:48+00:00,annotator1,65,yoqdi,delete,primary,yoqd|i,ROOT|POSSESSIVE,|,ROOT|SF010,0.0.0.0|2.2.2.2,
2026-03-12T09:35:49+00:00,annotator1,70,ikkinchi,delete,primary,ikkinch|i,ROOT|POSSESSIVE,|,ROOT|SF010,0.0.0.0|2.2.2.2,
2026-03-12T09:35:51+00:00,annotator1,75,qabul,update,primary,qabul,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:35:53+00:00,annotator1,80,nazarda,update,primary,nazar|da,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:37:14+00:00,annotator1,85,belgilangan,update,primary,belgilangan,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:37:15+00:00,annotator1,90,qismi,update,primary,qismi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:37:18+00:00,annotator1,95,jarima,update,primary,jarima,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:37:30+00:00,annotator1,100,vazirligi,delete,primary,vazirligi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:37:32+00:00,annotator1,105,besh,update,primary,besh,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:37:48+00:00,annotator1,110,foydalanish,update,primary,foydalanish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:37:49+00:00,annotator1,115,muvofiq,update,primary,muvofiq,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:37:50+00:00,annotator1,120,koʻrib,update,primary,koʻrib,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:37:52+00:00,annotator1,125,bolalar,update,primary,bolalar,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:38:03+00:00,annotator1,130,shaxslar,update,primary,shaxslar,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:38:23+00:00,annotator1,0,taklif,update,primary,taklif,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:38:24+00:00,annotator1,5,va,update,primary,va,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:38:25+00:00,annotator1,10,uchun,update,primary,uchun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:38:27+00:00,annotator1,15,olishhujjatga,delete,primary,olishhujjat|ga,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:38:29+00:00,annotator1,20,qonun,update,primary,qonun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:38:30+00:00,annotator1,25,yil,update,primary,yil,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:38:31+00:00,annotator1,30,etish,update,primary,etish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:13+00:00,annotator1,0,taklif,update,primary,taklif,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:14+00:00,annotator1,5,va,update,primary,va,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:15+00:00,annotator1,10,uchun,update,primary,uchun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:17+00:00,annotator1,15,olishhujjatga,delete,primary,olishhujjat|ga,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:40:18+00:00,annotator1,20,qonun,update,primary,qonun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:19+00:00,annotator1,25,yil,update,primary,yil,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:21+00:00,annotator1,30,etish,update,primary,etish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:30+00:00,annotator1,35,vazirlar,update,primary,vazir|lar,ROOT|INFLECTION,|,ROOT|SF001,0.0.0.0|1.1.1.1,
2026-03-12T09:40:33+00:00,annotator1,40,qonunchilik,delete,primary,qonunchilik,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:36+00:00,annotator1,45,soʻzlari,update,primary,soʻz|lar|i,ROOT|INFLECTION|POSSESSIVE,||,ROOT|SF001|SF010,0.0.0.0|1.1.1.1|2.2.2.2,
2026-03-12T09:40:38+00:00,annotator1,50,faoliyat,update,primary,faoliyat,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:41+00:00,annotator1,55,raqamini,update,primary,raqam|i|ni,ROOT|POSSESSIVE|CASE,||,ROOT|SF010|SF030,0.0.0.0|2.2.2.2|3.3.3.3,
2026-03-12T09:40:43+00:00,annotator1,60,o'zbekiston,update,primary,o'zbekiston,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:46+00:00,annotator1,65,yoqdi,delete,primary,yoqd|i,ROOT|POSSESSIVE,|,ROOT|SF010,0.0.0.0|2.2.2.2,
2026-03-12T09:40:47+00:00,annotator1,70,ikkinchi,delete,primary,ikkinch|i,ROOT|POSSESSIVE,|,ROOT|SF010,0.0.0.0|2.2.2.2,
2026-03-12T09:40:49+00:00,annotator1,75,qabul,update,primary,qabul,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:40:52+00:00,annotator1,80,nazarda,update,primary,nazar|da,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:40:59+00:00,annotator1,85,belgilangan,update,primary,belgilangan,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:41:04+00:00,annotator1,90,qismi,update,primary,qismi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:41:06+00:00,annotator1,95,jarima,update,primary,jarima,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:41:09+00:00,annotator1,100,vazirligi,update,primary,vazirligi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:41:10+00:00,annotator1,105,besh,update,primary,besh,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:41:12+00:00,annotator1,110,foydalanish,update,primary,foydalanish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:41:13+00:00,annotator1,115,muvofiq,update,primary,muvofiq,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:41:14+00:00,annotator1,120,koʻrib,update,primary,koʻrib,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:41:15+00:00,annotator1,125,bolalar,update,primary,bolalar,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:37+00:00,annotator1,0,taklif,update,primary,taklif,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:37+00:00,annotator1,0,taklif,update,primary,taklif,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:37+00:00,annotator1,0,taklif,update,primary,taklif,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:38+00:00,annotator1,5,va,update,primary,va,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:38+00:00,annotator1,5,va,update,primary,va,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:38+00:00,annotator1,5,va,update,primary,va,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:38+00:00,annotator1,10,uchun,update,primary,uchun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:38+00:00,annotator1,10,uchun,update,primary,uchun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:39+00:00,annotator1,10,uchun,update,primary,uchun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:39+00:00,annotator1,10,uchun,update,primary,uchun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:39+00:00,annotator1,10,uchun,update,primary,uchun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:39+00:00,annotator1,10,uchun,update,primary,uchun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:40+00:00,annotator1,15,olishhujjatga,update,primary,olishhujjat|ga,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:42:41+00:00,annotator1,15,olishhujjatga,update,primary,olishhujjat|ga,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:42:41+00:00,annotator1,15,olishhujjatga,update,primary,olishhujjat|ga,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:42:41+00:00,annotator1,15,olishhujjatga,update,primary,olishhujjat|ga,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:42:42+00:00,annotator1,20,qonun,update,primary,qonun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:42+00:00,annotator1,20,qonun,update,primary,qonun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:42+00:00,annotator1,30,etish,update,primary,etish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:43+00:00,annotator1,25,yil,update,primary,yil,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:43+00:00,annotator1,25,yil,update,primary,yil,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:43+00:00,annotator1,30,etish,update,primary,etish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:43+00:00,annotator1,30,etish,update,primary,etish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:45+00:00,annotator1,35,vazirlar,update,primary,vazir|lar,ROOT|INFLECTION,|,ROOT|SF001,0.0.0.0|1.1.1.1,
2026-03-12T09:42:47+00:00,annotator1,40,qonunchilik,update,primary,qonunchilik,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:49+00:00,annotator1,45,soʻzlari,update,primary,soʻz|lar|i,ROOT|INFLECTION|POSSESSIVE,||,ROOT|SF001|SF010,0.0.0.0|1.1.1.1|2.2.2.2,
2026-03-12T09:42:50+00:00,annotator1,50,faoliyat,update,primary,faoliyat,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:52+00:00,annotator1,55,raqamini,update,primary,raqam|i|ni,ROOT|POSSESSIVE|CASE,||,ROOT|SF010|SF030,0.0.0.0|2.2.2.2|3.3.3.3,
2026-03-12T09:42:54+00:00,annotator1,60,o'zbekiston,update,primary,o'zbekiston,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:42:55+00:00,annotator1,65,yoqdi,update,primary,yoqd|i,ROOT|POSSESSIVE,|,ROOT|SF010,0.0.0.0|2.2.2.2,
2026-03-12T09:42:57+00:00,annotator1,70,ikkinchi,update,primary,ikkinch|i,ROOT|POSSESSIVE,|,ROOT|SF010,0.0.0.0|2.2.2.2,
2026-03-12T09:42:58+00:00,annotator1,75,qabul,update,primary,qabul,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:43:00+00:00,annotator1,80,nazarda,update,primary,nazar|da,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:43:01+00:00,annotator1,85,belgilangan,update,primary,belgilangan,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:43:03+00:00,annotator1,90,qismi,update,primary,qismi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:43:04+00:00,annotator1,95,jarima,update,primary,jarima,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:43:05+00:00,annotator1,100,vazirligi,update,primary,vazirligi,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:43:05+00:00,annotator1,105,besh,update,primary,besh,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:43:06+00:00,annotator1,110,foydalanish,update,primary,foydalanish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:43:07+00:00,annotator1,115,muvofiq,update,primary,muvofiq,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:43:08+00:00,annotator1,120,koʻrib,update,primary,koʻrib,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:43:09+00:00,annotator1,125,bolalar,update,primary,bolalar,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:45:05+00:00,annotator1,0,taklif,update,primary,taklif,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:45:05+00:00,annotator1,5,va,update,primary,va,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:45:06+00:00,annotator1,10,uchun,update,primary,uchun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:45:07+00:00,annotator1,15,olishhujjatga,update,primary,olishhujjat|ga,ROOT|CASE,|,ROOT|SF030,0.0.0.0|3.3.3.3,
2026-03-12T09:45:09+00:00,annotator1,20,qonun,update,primary,qonun,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:45:09+00:00,annotator1,25,yil,update,primary,yil,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:45:10+00:00,annotator1,30,etish,update,primary,etish,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:45:12+00:00,annotator1,35,vazirlar,update,primary,vazir|lar,ROOT|INFLECTION,|,ROOT|SF001,0.0.0.0|1.1.1.1,
2026-03-12T09:45:13+00:00,annotator1,40,qonunchilik,update,primary,qonunchilik,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:45:15+00:00,annotator1,45,soʻzlari,update,primary,soʻz|lar|i,ROOT|INFLECTION|POSSESSIVE,||,ROOT|SF001|SF010,0.0.0.0|1.1.1.1|2.2.2.2,
2026-03-12T09:45:16+00:00,annotator1,50,faoliyat,update,primary,faoliyat,ROOT,,ROOT,0.0.0.0,
2026-03-12T09:45:17+00:00,annotator1,55,raqamini,update,primary,raqam|i|ni,ROOT|POSSESSIVE|CASE,||,ROOT|SF010|SF030,0.0.0.0|2.2.2.2|3.3.3.3,
2026-03-12T09:45:19+00:00,annotator1,60,o'zbekiston,update,primary,o'zbekiston,ROOT,,ROOT,0.0.0.0,
